param,rf_mse_cv_results,rf_adj_r2_cv_results,rf_mse_mean,rf_mse_95_ci_lower,rf_mse_95_ci_upper,rf_adj_r2_mean,rf_adj_r2_95_ci_lower,rf_adj_r2_95_ci_upper
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1000}","[10.526612903225807, 14.95483870967742, 12.006451612903225, 12.913709677419355, 11.724193548387097]","[0.43345172905138585, 0.34931792843091247, 0.31560031631660623, 0.3700426569631067, 0.4342642022673173]",12.425161290322581,10.374619179853417,14.475703400791746,0.38053536660586573,0.31545714171550526,0.4456135914962262
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}","[10.49758064516129, 14.925806451612903, 12.087096774193549, 12.78467741935484, 11.852419354838709]","[0.43501426163042134, 0.35058111623162913, 0.31100332757612137, 0.3763371161453901, 0.428076831800988]",12.429516129032258,10.413936368367242,14.445095889697274,0.38020253067691,0.31515671481621477,0.44524834653760526
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}","[10.49758064516129, 15.300806451612903, 12.033870967741935, 12.74758064516129, 11.72258064516129]","[0.43501426163042134, 0.334264940472374, 0.3140373401448413, 0.37814677316029655, 0.43434203082664224]",12.46048387096774,10.245466510139654,14.675501231795828,0.37916106924691506,0.309965982937794,0.44835615555603614
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}","[10.480645161290322, 15.300806451612903, 12.094354838709677, 12.74758064516129, 11.72258064516129]","[0.4359257389681921, 0.334264940472374, 0.31058959858947777, 0.37814677316029655, 0.43434203082664224]",12.469193548387096,10.252571986031636,14.685815110742556,0.3786538164033965,0.3079099692822773,0.4493976635245157
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}","[10.521774193548387, 15.128225806451614, 11.953225806451613, 12.843548387096774, 11.92258064516129]","[0.43371215114789186, 0.3417738901766334, 0.3186343288853263, 0.37346526914347333, 0.42469128947035495]",12.473870967741934,10.362317818490437,14.585424116993432,0.3784553857647359,0.3159389254629936,0.4409718460664782
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1000}","[10.53225806451613, 15.130645161290323, 11.971774193548388, 12.853225806451613, 11.915322580645162]","[0.43314790327212904, 0.34166862452657365, 0.31757702147501476, 0.372993184704802, 0.42504151798731704]",12.480645161290322,10.37200246912848,14.589287853452165,0.3780856503931673,0.3152307952532579,0.44094050553307673
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}","[10.540322580645162, 15.112096774193548, 12.053225806451612, 12.79758064516129, 11.92741935483871]","[0.4327138664446192, 0.34247566117703143, 0.312934062847125, 0.37570767022716167, 0.4244578037923802]",12.486129032258065,10.40116542861186,14.57109263590427,0.3776578128976634,0.3135821791080204,0.44173344668730646
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}","[10.558870967741935, 15.109677419354838, 12.049193548387096, 12.79758064516129, 11.92741935483871]","[0.4317155817413465, 0.34258092682709107, 0.3131639122841493, 0.37570767022716167, 0.4244578037923802]",12.488548387096774,10.411090916271494,14.566005857922054,0.3775251789744257,0.3138905115111003,0.44115984643775114
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}","[10.616129032258064, 15.064516129032258, 12.094354838709677, 12.768548387096773, 11.918548387096774]","[0.42863392026602654, 0.34454588562820576, 0.31058959858947777, 0.37712392354317537, 0.4248858608686673]",12.492419354838708,10.461607976523188,14.523230733154227,0.37715583777911055,0.3137743261380791,0.440537349420142
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}","[10.533064516129032, 15.314516129032258, 12.096774193548388, 12.766935483870968, 11.771774193548387]","[0.43310449958937813, 0.3336684351220357, 0.31045168892726316, 0.37720260428295405, 0.43196825976723285]",12.496612903225806,10.296865977245155,14.696359829206457,0.3772790975377728,0.30793692038406534,0.4466212746914802
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000}","[10.571774193548388, 15.116129032258064, 11.963709677419354, 12.887096774193548, 11.95483870967742]","[0.43102112281733074, 0.3423002184269318, 0.3180367203490633, 0.37134088916945274, 0.42313471828385696]",12.498709677419352,10.412046355149739,14.585372999688966,0.3771667338093271,0.31583518189310544,0.4384982857255487
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}","[10.609677419354838, 15.064516129032258, 12.096774193548388, 12.76774193548387, 11.961290322580645]","[0.42898114972803447, 0.34454588562820576, 0.31045168892726316, 0.37716326391306476, 0.4228234040465574]",12.499999999999998,10.471622299895678,14.528377700104318,0.3767930784486251,0.31383574206289894,0.43975041483435123
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1000}","[10.589516129032258, 15.109677419354838, 11.97258064516129, 12.899193548387096, 11.949193548387097]","[0.43006624179680897, 0.34258092682709107, 0.31753105158760997, 0.37075078362111347, 0.42340711824149413]",12.504032258064516,10.426219876455068,14.581844639673964,0.37686722441482357,0.31562838741796884,0.4381060614116783
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}","[10.55241935483871, 15.337903225806452, 12.111290322580645, 12.8, 11.779032258064516]","[0.43206281120335444, 0.33265086717145853, 0.30962423095397584, 0.37558964911749393, 0.4316180312502709]",12.516129032258064,10.31183845801029,14.720419606505837,0.3763091179393107,0.30683975145227993,0.4457784844263415
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}","[10.64516129032258, 15.332258064516129, 12.084677419354838, 12.944354838709678, 11.739516129032259]","[0.42707138768699104, 0.3328964870215977, 0.31114123723833575, 0.3685477229073144, 0.43352483095373084]",12.549193548387098,10.363169042895905,14.735218053878292,0.37463633316159395,0.3065477225157471,0.4427249438074408
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}","[10.693548387096774, 15.332258064516129, 12.084677419354838, 12.944354838709678, 11.739516129032259]","[0.42446716672193197, 0.3328964870215977, 0.31114123723833575, 0.3685477229073144, 0.43352483095373084]",12.558870967741935,10.388985061440772,14.728756874043098,0.37411548896858215,0.30678877355743545,0.44144220437972886
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}","[10.65241935483871, 15.25241935483871, 12.112903225806452, 12.916129032258064, 11.866129032258064]","[0.4266807545422322, 0.3363702534735682, 0.30953229117916614, 0.3699246358534388, 0.42741528904672643]",12.559999999999999,10.436775781010576,14.683224218989421,0.3739846448190264,0.30823168996180994,0.4397375996762428
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}","[10.644354838709678, 15.266935483870968, 12.112903225806452, 12.916129032258064, 11.887096774193548]","[0.42711479136974206, 0.33573865957321003, 0.30953229117916614, 0.3699246358534388, 0.42640351777550267]",12.565483870967743,10.434974427557735,14.69599331437775,0.3737427791502119,0.30802952832081176,0.4394560299796121
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}","[10.54758064516129, 15.17983870967742, 12.087096774193549, 13.036290322580646, 12.0]","[0.4323232332998602, 0.33952822297535956, 0.31100332757612137, 0.3640629207399376, 0.4209555186227598]",12.57016129032258,10.448681039095339,14.691641541549822,0.3735746446428077,0.30887350866652497,0.43827578061909045
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1000}","[10.54758064516129, 15.17983870967742, 12.083064516129033, 13.036290322580646, 12.004838709677419]","[0.4323232332998602, 0.33952822297535956, 0.31123317701314557, 0.3640629207399376, 0.42072203294478516]",12.570322580645163,10.448986086202371,14.691659075087955,0.37357391739461765,0.309024216238469,0.4381236185507663
"{'bootstrap': True, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}","[10.557258064516128, 15.40241935483871, 12.015322580645162, 12.92983870967742, 11.958064516129033]","[0.43180238910684854, 0.3298437831698662, 0.31509464755515293, 0.3692558495653213, 0.4229790611652071]",12.572580645161292,10.344034835890664,14.80112645443192,0.3737951461124792,0.30814535806343285,0.4394449341615256
"{'bootstrap': True, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}","[10.557258064516128, 15.40241935483871, 12.015322580645162, 12.957258064516129, 11.958064516129033]","[0.43180238910684854, 0.3298437831698662, 0.31509464755515293, 0.3679182769890861, 0.4229790611652071]",12.578064516129034,10.347773174013282,14.808355858244786,0.3735276315972322,0.30783800726615873,0.4392172559283056
"{'bootstrap': False, 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1000}","[10.647580645161291, 15.268548387096773, 12.10725806451613, 12.911290322580646, 11.989516129032259]","[0.426941176638738, 0.33566848247317016, 0.30985408039100004, 0.3701606780727744, 0.42146140425837175]",12.58483870967742,10.466324733042615,14.703352686312225,0.3728171643668109,0.30875674093925265,0.43687758779436914
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 1000}","[10.647580645161291, 15.268548387096773, 12.10725806451613, 12.911290322580646, 11.989516129032259]","[0.426941176638738, 0.33566848247317016, 0.30985408039100004, 0.3701606780727744, 0.42146140425837175]",12.58483870967742,10.466324733042615,14.703352686312225,0.3728171643668109,0.30875674093925265,0.43687758779436914
