model,mse,r2
msbos,11.615337796713328,0.32405846910328595
ann,11.362142422398053,0.3132814195996856
xgboost,11.07242848447961,0.33079149268038777
lr,11.982349360925136,0.27579662029456886
rf,10.994522215459526,0.3355000837609128
